Geracao 0:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 86:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 87:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 88:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 89:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 90:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 91:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 92:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 93:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 94:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 95:
1: (-0.508, 10.361) erro: 12.4543
2: (-0.508, 10.361) erro: 12.4543

Geracao 96:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 97:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 98:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 99:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 100:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 101:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 102:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 103:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 104:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 105:
1: (-0.512, 10.361) erro: 12.4527
2: (-0.512, 10.361) erro: 12.4527

Geracao 106:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.361) erro: 12.4527

Geracao 107:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.361) erro: 12.4527

Geracao 108:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.361) erro: 12.4527

Geracao 109:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.361) erro: 12.4527

Geracao 110:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.361) erro: 12.4527

Geracao 111:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.361) erro: 12.4527

Geracao 112:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.361) erro: 12.4527

Geracao 113:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 114:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 115:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 116:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 117:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 118:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 119:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 120:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 121:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 122:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 123:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 124:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 125:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 126:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 127:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 128:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 129:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 130:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 131:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 132:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 133:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 134:
